"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","TAIL_NUM","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME"
2017,1,1,8,7,"2017-01-08","WN",19393,"WN","N7735A",3544,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13232,1323202,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,710,710,0,0,0,0,"0700-0759",22,732,739,6,755,745,-10,0,0,-1,"0700-0759",0,"",0,105,95,67,1,402,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,8,7,"2017-01-08","DL",19790,"DL","N974AT",350,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13487,1348702,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,825,814,-11,0,0,-1,"0800-0859",36,850,951,6,959,957,-2,0,0,-1,"0900-0959",0,"",0,154,163,121,1,726,3,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,8,7,"2017-01-08","B6",20409,"B6","N328JB",1486,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,1133,1248,75,75,1,5,"1100-1159",9,1257,1412,5,1307,1417,70,70,1,4,"1300-1359",0,"",0,94,89,75,1,496,2,10,0,0,0,60,NA,NA,NA
2017,1,1,8,7,"2017-01-08","OO",20304,"OO","N824SK",4801,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11433,1143302,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,1339,1334,-5,0,0,-1,"1300-1359",20,1354,1448,7,1455,1455,0,0,0,0,"1400-1459",0,"",0,76,81,54,1,201,1,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,9,1,"2017-01-09","WN",19393,"WN","N258WN",606,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13232,1323202,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,2140,2152,12,12,0,0,"2100-2159",7,2159,2207,21,2215,2228,13,13,0,0,"2200-2259",0,"",0,95,96,68,1,402,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,10,2,"2017-01-10","WN",19393,"WN","N376SW",454,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10693,1069302,30693,"BNA","Nashville, TN","TN",47,"Tennessee",54,1720,1718,-2,0,0,-1,"1700-1759",8,1726,1752,5,1755,1757,2,2,0,0,"1700-1759",0,"",0,95,99,86,1,462,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,10,2,"2017-01-10","DL",19790,"DL","N982DL",898,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10397,1039705,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1745,1740,-5,0,0,-1,"1700-1759",12,1752,1922,9,1943,1931,-12,0,0,-1,"1900-1959",0,"",0,118,111,90,1,526,3,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,10,2,"2017-01-10","WN",19393,"WN","N755SA",1302,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13232,1323202,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,1750,1742,-8,0,0,-1,"1700-1759",53,1835,1849,18,1830,1907,37,37,1,2,"1800-1859",0,"",0,100,145,74,1,402,2,0,0,37,0,0,NA,NA,NA
2017,1,1,10,2,"2017-01-10","EV",20366,"EV","N754EV",5350,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12953,1295302,31703,"LGA","New York, NY","NY",36,"New York",22,1918,1915,-3,0,0,-1,"1900-1959",19,1934,2028,10,2048,2038,-10,0,0,-1,"2000-2059",0,"",0,90,83,54,1,335,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,10,2,"2017-01-10","DL",19790,"DL","N946AT",1312,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11433,1143302,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,1919,1912,-7,0,0,-1,"1900-1959",14,1926,2016,7,2030,2023,-7,0,0,-1,"2000-2059",0,"",0,71,71,50,1,201,1,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,11,3,"2017-01-11","WN",19393,"WN","N7879A",216,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13232,1323202,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,640,633,-7,0,0,-1,"0600-0659",8,641,657,6,720,703,-17,0,0,-2,"0700-0759",0,"",0,100,90,76,1,402,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,11,3,"2017-01-11","WN",19393,"WN","N8690A",1252,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14635,1463502,31714,"RSW","Fort Myers, FL","FL",12,"Florida",33,650,643,-7,0,0,-1,"0600-0659",7,650,903,4,940,907,-33,0,0,-2,"0900-0959",0,"",0,170,144,133,1,966,4,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,11,3,"2017-01-11","AA",19805,"AA","N709AA",1795,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11057,1105703,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,700,651,-9,0,0,-1,"0700-0759",11,702,808,8,846,816,-30,0,0,-2,"0800-0859",0,"",0,106,85,66,1,366,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,11,3,"2017-01-11","DL",19790,"DL","N672DL",2126,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10397,1039705,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,740,735,-5,0,0,-1,"0700-0759",12,747,910,6,944,916,-28,0,0,-2,"0900-0959",0,"",0,124,101,83,1,526,3,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,12,4,"2017-01-12","WN",19393,"WN","N7825A",1534,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,10821,1082104,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,600,555,-5,0,0,-1,"0600-0659",9,604,649,4,715,653,-22,0,0,-2,"0700-0759",0,"",0,75,58,45,1,210,1,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,12,4,"2017-01-12","AA",19805,"AA","N815AA",727,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12892,1289204,32575,"LAX","Los Angeles, CA","CA",6,"California",91,605,557,-8,0,0,-1,"0600-0659",14,611,834,36,859,910,11,11,0,0,"0800-0859",0,"",0,354,373,323,1,2136,9,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,12,4,"2017-01-12","DL",19790,"DL","N947DN",1356,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11433,1143302,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,610,558,-12,0,0,-1,"0600-0659",21,619,656,8,735,704,-31,0,0,-2,"0700-0759",0,"",0,85,66,37,1,201,1,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,12,4,"2017-01-12","WN",19393,"WN","N747SA",216,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13232,1323202,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,640,NA,NA,NA,NA,NA,"0600-0659",NA,NA,NA,NA,720,NA,NA,NA,NA,NA,"0700-0759",1,"B",0,100,NA,NA,1,402,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,13,5,"2017-01-13","WN",19393,"WN","N614SW",32,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12191,1219102,31453,"HOU","Houston, TX","TX",48,"Texas",74,1055,1050,-5,0,0,-1,"1000-1059",7,1057,1250,4,1315,1254,-21,0,0,-2,"1300-1359",0,"",0,200,184,173,1,1131,5,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,13,5,"2017-01-13","AA",19805,"AA","N820AA",495,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14107,1410702,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,1055,1049,-6,0,0,-1,"1000-1059",15,1104,1330,4,1341,1334,-7,0,0,-1,"1300-1359",0,"",0,286,285,266,1,1814,8,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,13,5,"2017-01-13","WN",19393,"WN","N8319F",1603,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,15016,1501603,31123,"STL","St. Louis, MO","MO",29,"Missouri",64,1140,1137,-3,0,0,-1,"1100-1159",7,1144,1218,12,1240,1230,-10,0,0,-1,"1200-1259",0,"",0,120,113,94,1,554,3,NA,NA,NA,NA,NA,NA,NA,NA
